"Type","Gender","Decl.","Lunasi","Meaning",,,,,,,
"","","","","deep",,,,,,,
"","","","","high",,,,,,,
"","","","","local",,,,,,,
"","","","","low",,,,,,,
"","","","","native",,,,,,,
"","","","","plain",,,,,,,
"","","","","pure",,,,,,,
"","","","","rare -- across",,,,,,,
"","","","","anywhere apart",,,,,,,
"","","","","around",,,,,,,
"","","","","aside",,,,,,,
"","","","","away",,,,,,,
"","","","","backwards",,,,,,,
"","","","","behind",,,,,,,
"","","","","below",,,,,,,
"","","","","beneath",,,,,,,
"","","","","near",,,,,,,
"","","","","next",,,,,,,
"","","","","nowhere",,,,,,,
"","","","","over.",,,,,,,
"","","","","",,,,,,,
"","","","","Additional vocabulary:",,,,,,,
"","","","","continent mainland",,,,,,,
"","","","","hemisphere",,,,,,,
"","","","","north/south pole",,,,,,,
"","","","","equator",,,,,,,
"","","","","horizon",,,,,,,
"","","","","summit",,,,,,,
"","","","","ridge",,,,,,,
"","","","","pass",,,,,,,
"","","","","gorge",,,,,,,
"","","","","landslip",,,,,,,
"","","","","glacier",,,,,,,
"","","","","lake",,,,,,,
"","","","","canal",,,,,,,
"","","","","cave",,,,,,,
"","","","","pasture",,,,,,,
"","","","","heath",,,,,,,
"","","","","highlands",,,,,,,
"","","","","plateau",,,,,,,
"","","","","boulder",,,,,,,
"","","","","volcano",,,,,,,
"","","","","eruption",,,,,,,
"","","","","marsh",,,,,,,
"","","","","bog",,,,,,,
"","","","","swamp",,,,,,,
"","","","","whirlpool",,,,,,,
"","","","","eddy",,,,,,,
"","","","","stagnant water",,,,,,,
"","","","","earthquake",,,,,,,
"","","","","waterfall",,,,,,,
"","","","","clearing",,,,,,,
"","","","","oasis",,,,,,,
"","","","","dike/dam",,,,,,,
"","","","","straits",,,,,,,
"","","","","beach",,,,,,,
"","","","","gulf",,,,,,,
"","","","","the tides",,,,,,,
"","","","","low/high",,,,,,,
"","","","","tide",,,,,,,
"","","","","breakers",,,,,,,
"","","","","isthmus",,,,,,,
"","","","","sluice",,,,,,,
"","","","","ock",,,,,,,
"","","","","inundation",,,,,,,
"","","","","cliff",,,,,,,
"","","","","sand-bank",,,,,,,
"","","","","promontory",,,,,,,
"","","","","brook",,,,,,,
"","","","","affluent",,,,,,,
"","","","","tributary",,,,,,,
"","","","","watershed",,,,,,,
"","","","","divide",,,,,,,
"","","","","ford",,,,,,,
"","","","","to submerge",,,,,,,
"","","","","to overflow",,,,,,,
"","","","","to be",,,,,,,
"","","","","outlined against",,,,,,,
"","","","","to burst forth",,,,,,,
"","","","","steep",,,,,,,
"","","","","shallow",,,,,,,
"","","","","extinct",,,,,,,
"","","","","earthly",,,,,,,
"","","","","earthen",,,,,,,
"","","","","marshy",,,,,,,
"","","","","boggy",,,,,,,
"","","","","swampy",,,,,,,
"","","","","muddy",,,,,,,
"","","","","Europe (European)",,,,,,,
"","","","","Germany (German)",,,,,,,
"","","","","the United Kingdom of",,,,,,,
"","","","","Great Britain and Northern Ireland (British)",,,,,,,
"","","","","England",,,,,,,
"","","","","(English)",,,,,,,
"","","","","Ireland (Irish)",,,,,,,
"","","","","Scotland (Scottish",,,,,,,
"","","","","Scotch)",,,,,,,
"","","","","Wales (Welsh)",,,,,,,
"","","","","Austria (Austrian)",,,,,,,
"","","","","Belgium (Belgian)",,,,,,,
"","","","","Spain",,,,,,,
"","","","","(Spanish)",,,,,,,
"","","","","France (French)",,,,,,,
"","","","","Italy (Italian)",,,,,,,
"","","","","the",,,,,,,
"","","","","U.S.S.R/the Soviet Union (Soviet-(Russian))",,,,,,,
"","","","","Switzerland",,,,,,,
"","","","","(Swiss)",,,,,,,
"","","","","the Netherlands (Dutch)",,,,,,,
"","","","","Sweden (Swedish)",,,,,,,
"","","","","Denmark",,,,,,,
"","","","","(Danish)",,,,,,,
"","","","","Norway (Norwegian)",,,,,,,
"","","","","Greece (Greek)",,,,,,,
"","","","","Africa",,,,,,,
"","","","","(African)",,,,,,,
"","","","","Asia (Asian)",,,,,,,
"","","","","China (Chinese)",,,,,,,
"","","","","Japan (Japanese)",,,,,,,
"","","","","America (American)",,,,,,,
"","","","","The United States of America",,,,,,,
"","","","","(American)",,,,,,,
"","","","","Australia (Australian)",,,,,,,
"","","","","London",,,,,,,
"","","","","Dublin",,,,,,,
"","","","","Edinburgh",,,,,,,
"","","","","Vienna",,,,,,,
"","","","","Brussels",,,,,,,
"","","","","Rome",,,,,,,
"","","","","Leghorn",,,,,,,
"","","","","Moscow",,,,,,,
"","","","","the",,,,,,,
"","","","","Hague",,,,,,,
"","","","","Tokyo",,,,,,,
"","","","","Washington",,,,,,,
"","","","","Canberra",,,,,,,
"","","","","the Straight of DOver",,,,,,,
"","","","","the English Channel",,,,,,,
"","","","","the Irish Sea",,,,,,,
"","","","","the Pennine Chain",,,,,,,
"","","","","the Shetland Islands",,,,,,,
"","","","","the ORkney",,,,,,,
"","","","","Islands",,,,,,,
"","","","","the Isle of Wight",,,,,,,
"","","","","the North Sea",,,,,,,
"","","","","the Atlantic",,,,,,,
"","","","","Ocean",,,,,,,
"","","","","the Mediterranean",,,,,,,
"","","","","the Alps",,,,,,,
"","","","","the Pyrenees",,,,,,,
"","","","","the Rocky",,,,,,,
"","","","","Mountains",,,,,,,
"","","","","the Appalachians",,,,,,,
"","","","","the Great Lakes",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","10. Space",,,,,,,
"","","","","Length in Space",,,,,,,
"","","","","--------------------------",,,,,,,
"","","","","",,,,,,,
"","","","","Basics:",,,,,,,
"","","","","base",,,,,,,
"","","","","bottom",,,,,,,
"","","","","centre",,,,,,,
"","","","","corner",,,,,,,
"","","","","course",,,,,,,
"","","","","crossing",,,,,,,
"","","","","difference",,,,,,,
"","","","","direction",,,,,,,
"","","","","distance",,,,,,,
"","","","","end",,,,,,,
"","","","","entrance",,,,,,,
"","","","","extension",,,,,,,
"","","","","extent",,,,,,,
"","","","","front",,,,,,,
"","","","","haste",,,,,,,
"","","","","height",,,,,,,
"","","","","hurry",,,,,,,
"","","","","length",,,,,,,
"","","","","middle",,,,,,,
"","","","","place",,,,,,,
"","","","","quarter",,,,,,,
"","","","","range",,,,,,,
"","","","","spot",,,,,,,
"","","","","step",,,,,,,
"","","","","surface",,,,,,,
"","","","","zone -- to cover",,,,,,,
"","","","","to",,,,,,,
"","","","","creep",,,,,,,
"","","","","to develop",,,,,,,
"","","","","to distinguish",,,,,,,
"","","","","to divide",,,,,,,
"","","","","to drive",,,,,,,
"","","","","to",,,,,,,
"","","","","drop",,,,,,,
"","","","","to enter to escape",,,,,,,
"","","","","to extend",,,,,,,
"","","","","to fall",,,,,,,
"","","","","to fasten",,,,,,,
"","","","","to find",,,,,,,
"","","","","to flow",,,,,,,
"","","","","to fly",,,,,,,
"","","","","to fold",,,,,,,
"","","","","to follow",,,,,,,
"","","","","to gather",,,,,,,
"","","","","to",,,,,,,
"","","","","handle",,,,,,,
"","","","","to head",,,,,,,
"","","","","to hold",,,,,,,
"","","","","to hurry",,,,,,,
"","","","","to inculde",,,,,,,
"","","","","to jump",,,,,,,
"","","","","to",,,,,,,
"","","","","keep",,,,,,,
"","","","","to lean",,,,,,,
"","","","","to leave",,,,,,,
"","","","","to lie",,,,,,,
"","","","","to lift",,,,,,,
"","","","","to lower",,,,,,,
"","","","","to",,,,,,,
"","","","","pass",,,,,,,
"","","","","to place",,,,,,,
"","","","","to ride",,,,,,,
"","","","","to rock",,,,,,,
"","","","","to roll",,,,,,,
"","","","","to run",,,,,,,
"","","","","to",,,,,,,
"","","","","shake",,,,,,,
"","","","","to sink",,,,,,,
"","","","","to sit",,,,,,,
"","","","","to slide",,,,,,,
"","","","","to slip",,,,,,,
"","","","","to spread",,,,,,,
"","","","","to",,,,,,,
"","","","","stand",,,,,,,
"","","","","to turn",,,,,,,
"","","","","to twist -- aboard",,,,,,,
"","","","","abroad",,,,,,,
"","","","","absent",,,,,,,
"","","","","calm",,,,,,,
"","","","","different",,,,,,,
"","","","","distant",,,,,,,
"","","","","distinct",,,,,,,
"","","","","empty",,,,,,,
"","","","","flat",,,,,,,
"","","","","high",,,,,,,
"","","","","irregular",,,,,,,
"","","","","large",,,,,,,
"","","","","left",,,,,,,
"","","","","level",,,,,,,
"","","","","local",,,,,,,
"","","","","long",,,,,,,
"","","","","quick",,,,,,,
"","","","","right",,,,,,,
"","","","","round",,,,,,,
"","","","","wide",,,,,,,
"","","","","-- across",,,,,,,
"","","","","after",,,,,,,
"","","","","against",,,,,,,
"","","","","ahead",,,,,,,
"","","","","around",,,,,,,
"","","","","aside",,,,,,,
"","","","","backward(s)",,,,,,,
"","","","","before",,,,,,,
"","","","","below",,,,,,,
"","","","","beneath",,,,,,,
"","","","","beside",,,,,,,
"","","","","between",,,,,,,
"","","","","beyond",,,,,,,
"","","","","close",,,,,,,
"","","","","contrary",,,,,,,
"","","","","down",,,,,,,
"","","","","farther",,,,,,,
"","","","","here",,,,,,,
"","","","","inside",,,,,,,
"","","","","of",,,,,,,
"","","","","under",,,,,,,
"","","","","up",,,,,,,
"","","","","upper",,,,,,,
"","","","","upstairs",,,,,,,
"","","","","upwards",,,,,,,
"","","","","where.",,,,,,,
"","","","","",,,,,,,
"","","","","Additional vocabulary:",,,,,,,
"","","","","expanse",,,,,,,
"","","","","dimension",,,,,,,
"","","","","vacuum",,,,,,,
"","","","","extremity",,,,,,,
"","","","","frontier",,,,,,,
"","","","","boundary",,,,,,,
"","","","","neighbourhood",,,,,,,
"","","","","remoteness",,,,,,,
"","","","","upper part",,,,,,,
"","","","","to expand",,,,,,,
"","","","","to hover",,,,,,,
"","","","","to soar up",,,,,,,
"","","","","to descend",,,,,,,
"","","","","extensive",,,,,,,
"","","","","widespread",,,,,,,
"","","","","voluminous",,,,,,,
"","","","","bulky",,,,,,,
"","","","","centrally located",,,,,,,
"","","","","spacious",,,,,,,
"","","","","comprehensive",,,,,,,
"","","","","far-reaching",,,,,,,
"","","","","",,,,,,,
"","","","","IV. The Human",,,,,,,
"","","","",#ERROR!,,,,,,,
"","","","","",,,,,,,
"","","","","11. Body",,,,,,,
"","","","","--------",,,,,,,
"","","","","",,,,,,,
"","","","","Basics:",,,,,,,
"","","","","arm",,,,,,,
"","","","","back",,,,,,,
"","","","","bag",,,,,,,
"","","","","basin",,,,,,,
"","","","","beard",,,,,,,
"","","","","belt",,,,,,,
"","","","","blood",,,,,,,
"","","","","body",,,,,,,
"","","","","bone",,,,,,,
"","","","","bowl",,,,,,,
"","","","","brain",,,,,,,
"","","","","breath",,,,,,,
"","","","","calf",,,,,,,
"","","","","chest",,,,,,,
"","","","","composition",,,,,,,
"","","","","condition",,,,,,,
"","","","","elbow",,,,,,,
"","","","","eye",,,,,,,
"","","","","face",,,,,,,
"","","","","fat",,,,,,,
"","","","","feeling",,,,,,,
"","","","","finger",,,,,,,
"","","","","fist",,,,,,,
"","","","","flesh",,,,,,,
"","","","","foot",,,,,,,
"","","","","forehead",,,,,,,
"","","","","hair",,,,,,,
"","","","","hand",,,,,,,
"","","","","heart",,,,,,,
"","","","","heel",,,,,,,
"","","","","joint",,,,,,,
"","","","","look",,,,,,,
"","","","","man",,,,,,,
"","","","","memory",,,,,,,
"","","","","mind",,,,,,,
"","","","","mouth",,,,,,,
"","","","","muscle",,,,,,,
"","","","","nose",,,,,,,
"","","","","root",,,,,,,
"","","","","shoulder",,,,,,,
"","","","","sight",,,,,,,
"","","","","spirit",,,,,,,
"","","","","stomach",,,,,,,
"","","","","strenghth",,,,,,,
"","","","","sweat",,,,,,,
"","","","","tongue",,,,,,,
"","","","","tooth",,,,,,,
"","","","","trunk --",,,,,,,
"","","","","to beat",,,,,,,
"","","","","to bend",,,,,,,
"","","","","to bite",,,,,,,
"","","","","to breathe",,,,,,,
"","","","","to cry",,,,,,,
"","","","","to feed",,,,,,,
"","","","","to",,,,,,,
"","","","","feel",,,,,,,
"","","","","to handle",,,,,,,
"","","","","to seize",,,,,,,
"","","","","to sigh",,,,,,,
"","","","","to stretch",,,,,,,
"","","","","to sweat --",,,,,,,
"","","","","bare",,,,,,,
"","","","","female",,,,,,,
"","","","","lean",,,,,,,
"","","","","male",,,,,,,
"","","","","pale -- inside",,,,,,,
"","","","","outside",,,,,,,
"","","","","",,,,,,,
"","","","","Additional:",,,,,,,
"","","","","upper arm/forearm",,,,,,,
"","","","","thigh/shank",,,,,,,
"","","","","palm",,,,,,,
"","","","","finger-tip",,,,,,,
"","","","","thumb",,,,,,,
"","","","","knuckle",,,,,,,
"","","","","shin(-bone)",,,,,,,
"","","","","ankle",,,,,,,
"","","","","sole",,,,,,,
"","","","","hip",,,,,,,
"","","","","skeleton",,,,,,,
"","","","","skull",,,,,,,
"","","","","temple",,,,,,,
"","","","","palate",,,,,,,
"","","","","tip of the nose/tongue",,,,,,,
"","","","","upper/lower jaw",,,,,,,
"","","","","gum",,,,,,,
"","","","","upper/lower lip",,,,,,,
"","","","","vocal chords",,,,,,,
"","","","","gullet",,,,,,,
"","","","","oesophagus",,,,,,,
"","","","","eyeball",,,,,,,
"","","","","the pupil of the eye",,,,,,,
"","","","","eyebrow/lash/lid",,,,,,,
"","","","","curl /",,,,,,,
"","","","","parting",,,,,,,
"","","","","waist",,,,,,,
"","","","","backbone",,,,,,,
"","","","","spine",,,,,,,
"","","","","windpipe",,,,,,,
"","","","","belly",,,,,,,
"","","","","abdomen",,,,,,,
"","","","","navel",,,,,,,
"","","","","kidney",,,,,,,
"","","","","gall-bladder",,,,,,,
"","","","","appendix",,,,,,,
"","","","","bowels",,,,,,,
"","","","","intestines",,,,,,,
"","","","","circulation of the blood",,,,,,,
"","","","","nervous system",,,,,,,
"","","","","pulse",,,,,,,
"","","","","marrow",,,,,,,
"","","","","tonsils",,,,,,,
"","","","","spleen",,,,,,,
"","","","","sinew",,,,,,,
"","","","","to pant",,,,,,,
"","","","","to gasp",,,,,,,
"","","","","to weep / to sob",,,,,,,
"","","","","to wink",,,,,,,
"","","","","to blink",,,,,,,
"","","","","to yawn",,,,,,,
"","","","","to sneeze",,,,,,,
"","","","","to chew",,,,,,,
"","","","","to",,,,,,,
"","","","","perspire",,,,,,,
"","","","","masculine",,,,,,,
"","","","","feminite",,,,,,,
"","","","","corpulent",,,,,,,
"","","","","stout",,,,,,,
"","","","","plump",,,,,,,
"","","","","meagre",,,,,,,
"","","","","slender",,,,,,,
"","","","","slim",,,,,,,
"","","","","lanky",,,,,,,
"","","","","robust",,,,,,,
"","","","","husky",,,,,,,
"","","","","long-/short-sighted",,,,,,,
"","","","","beardless",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","12. Look and movements",,,,,,,
"","","","","----------------------",,,,,,,
"","","","","",,,,,,,
"","","","","Basics:",,,,,,,
"","","","","activity",,,,,,,
"","","","","address",,,,,,,
"","","","","air",,,,,,,
"","","","","appearance",,,,,,,
"","","","","balance",,,,,,,
"","","","","beauty",,,,,,,
"","","","","behaviour",,,,,,,
"","","","","charm",,,,,,,
"","","","","colour",,,,,,,
"","","","","dance",,,,,,,
"","","","","expression",,,,,,,
"","","","","movement",,,,,,,
"","","","","skill",,,,,,,
"","","","","smile -- to act",,,,,,,
"","","","","to cry",,,,,,,
"","","","","to dance",,,,,,,
"","","","","to express",,,,,,,
"","","","","to",,,,,,,
"","","","","frown",,,,,,,
"","","","","to lean",,,,,,,
"","","","","to lie",,,,,,,
"","","","","to move",,,,,,,
"","","","","to please",,,,,,,
"","","","","to smile --",,,,,,,
"","","","","active",,,,,,,
"","","","","beautiful",,,,,,,
"","","","","busy",,,,,,,
"","","","","charming",,,,,,,
"","","","","coarse",,,,,,,
"","","","","handsome",,,,,,,
"","","","","happy",,,,,,,
"","","","","irregular",,,,,,,
"","","","","lazy",,,,,,,
"","","","","light",,,,,,,
"","","","","merry",,,,,,,
"","","","","nice",,,,,,,
"","","","","regular",,,,,,,
"","","","","rough",,,,,,,
"","","","","ugly",,,,,,,
"","","","","",,,,,,,
"","","","","Additional:",,,,,,,
"","","","","complexion",,,,,,,
"","","","","countenance",,,,,,,
"","","","","physique",,,,,,,
"","","","","physical constitiution",,,,,,,
"","","","","weakness",,,,,,,
"","","","","gait",,,,,,,
"","","","","errand",,,,,,,
"","","","","collision",,,,,,,
"","","","","clash",,,,,,,
"","","","","to conduct",,,,,,,
"","","","","oneself",,,,,,,
"","","","","to weaken",,,,,,,
"","","","","to dangle",,,,,,,
"","","","","to grow pale",,,,,,,
"","","","","graceful/awkward",,,,,,,
"","","","","attractive",,,,,,,
"","","","","striking",,,,,,,
"","","","","wobbly",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","13. Senses",,,,,,,
"","","","","----------",,,,,,,
"","","","","",,,,,,,
"","","","","Basics:",,,,,,,
"","","","","",,,,,,,
"","","","","ability",,,,,,,
"","","","","anxiety",,,,,,,
"","","","","application",,,,,,,
"","","","","attention",,,,,,,
"","","","","colour",,,,,,,
"","","","","crash",,,,,,,
"","","","","cruelty",,,,,,,
"","","","","curiosity",,,,,,,
"","","","","eye",,,,,,,
"","","","","face",,,,,,,
"","","","","feeling",,,,,,,
"","","","","hate",,,,,,,
"","","","","heat",,,,,,,
"","","","","sight",,,,,,,
"","","","","smell",,,,,,,
"","","","","taste -- to astonish",,,,,,,
"","","","","to crash",,,,,,,
"","","","","to fade",,,,,,,
"","","","","to fear",,,,,,,
"","","","","to",,,,,,,
"","","","","flash",,,,,,,
"","","","","to hate",,,,,,,
"","","","","to hear",,,,,,,
"","","","","to heat",,,,,,,
"","","","","to hurt",,,,,,,
"","","","","to regard",,,,,,,
"","","","","to",,,,,,,
"","","","","smell",,,,,,,
"","","","","to taste -- able",,,,,,,
"","","","","afraid",,,,,,,
"","","","","anxious",,,,,,,
"","","","","aware",,,,,,,
"","","","","beautiful",,,,,,,
"","","","","clear",,,,,,,
"","","","","coarse",,,,,,,
"","","","","cold",,,,,,,
"","","","","cool",,,,,,,
"","","","","cruel",,,,,,,
"","","","","curious",,,,,,,
"","","","","dark",,,,,,,
"","","","","delicate",,,,,,,
"","","","","dry",,,,,,,
"","","","","dull",,,,,,,
"","","","","faint",,,,,,,
"","","","","fair",,,,,,,
"","","","","fearful",,,,,,,
"","","","","fine",,,,,,,
"","","","","fond",,,,,,,
"","","","","fresh",,,,,,,
"","","","","gentle",,,,,,,
"","","","","glad",,,,,,,
"","","","","handsome",,,,,,,
"","","","","happy",,,,,,,
"","","","","hard",,,,,,,
"","","","","heavy",,,,,,,
"","","","","hot",,,,,,,
"","","","","lovely",,,,,,,
"","","","","merry",,,,,,,
"","","","","nervous",,,,,,,
"","","","","nice",,,,,,,
"","","","","painful",,,,,,,
"","","","","pretty",,,,,,,
"","","","","rough",,,,,,,
"","","","","sharp",,,,,,,
"","","","","smooth",,,,,,,
"","","","","sweet",,,,,,,
"","","","","ugly",,,,,,,
"","","","","warm",,,,,,,
"","","","","weak",,,,,,,
"","","","","wet",,,,,,,
"","","","","",,,,,,,
"","","","","Additional:",,,,,,,
"","","","","glance",,,,,,,
"","","","","touch",,,,,,,
"","","","","hearing / sound wave",,,,,,,
"","","","","brightness",,,,,,,
"","","","","perfume",,,,,,,
"","","","","scent",,,,,,,
"","","","","to behold (beheld",,,,,,,
"","","","","beheld)",,,,,,,
"","","","","to gaze",,,,,,,
"","","","","to stare at",,,,,,,
"","","","","to",,,,,,,
"","","","","perceive/to sense",,,,,,,
"","","","","piercing",,,,,,,
"","","","","furtive",,,,,,,
"","","","","deafening",,,,,,,
"","","","","noisy",,,,,,,
"","","","","delicious",,,,,,,
"","","","","disagreeable",,,,,,,
"","","","","monotonous",,,,,,,
"","","","","slippery",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","14. Life and death",,,,,,,
"","","","","------------------",,,,,,,
"","","","","",,,,,,,
"","","","","Basics:",,,,,,,
"","","","","accident",,,,,,,
"","","","","ashes",,,,,,,
"","","","","being",,,,,,,
"","","","","creature",,,,,,,
"","","","","death",,,,,,,
"","","","","dream",,,,,,,
"","","","","dust",,,,,,,
"","","","","grave",,,,,,,
"","","","","life",,,,,,,
"","","","","loss",,,,,,,
"","","","","murder",,,,,,,
"","","","","ruin",,,,,,,
"","","","","sacrifice",,,,,,,
"","","","","tear",,,,,,,
"","","","","want -- to bury",,,,,,,
"","","","","to die",,,,,,,
"","","","","to dream",,,,,,,
"","","","","to drop",,,,,,,
"","","","","to finish",,,,,,,
"","","","","to poison",,,,,,,
"","","","","to remove",,,,,,,
"","","","","to save",,,,,,,
"","","","","to strike",,,,,,,
"","","","","to suffer",,,,,,,
"","","","","to twist -- asleep",,,,,,,
"","","","","awake",,,,,,,
"","","","","aware",,,,,,,
"","","","","dead",,,,,,,
"","","","","living",,,,,,,
"","","","","",,,,,,,
"","","","","Additional:",,,,,,,
"","","","","burial",,,,,,,
"","","","","funeral",,,,,,,
"","","","","funeral procession",,,,,,,
"","","","","funeral march",,,,,,,
"","","","","mortality",,,,,,,
"","","","","tomb-stone",,,,,,,
"","","","","grave-stone",,,,,,,
"","","","","tomb",,,,,,,
"","","","","coffin",,,,,,,
"","","","","epitaph",,,,,,,
"","","","","wreath",,,,,,,
"","","","","grave-yard",,,,,,,
"","","","","cemetery",,,,,,,
"","","","","corpse / ummy",,,,,,,
"","","","","deceased",,,,,,,
"","","","","cuicide",,,,,,,
"","","","","cremation",,,,,,,
"","","","","urn",,,,,,,
"","","","","to drown",,,,,,,
"","","","","to be drowned",,,,,,,
"","","","","to shed",,,,,,,
"","","","","blood",,,,,,,
"","","","","to embalm",,,,,,,
"","","","","to grow old",,,,,,,
"","","","","to mourn (for)",,,,,,,
"","","","","to commit",,,,,,,
"","","","","suicide",,,,,,,
"","","","","gloomy",,,,,,,
"","","","","dismal",,,,,,,
"","","","","dim/mortal",,,,,,,
"","","","","",,,,,,,
"","","","","[I thought this topic's name is ""*Life* and death""!]",,,,,,,
"","","","","",,,,,,,
"","","","","",,,,,,,
"","","","","15. Health",,,,,,,
"","","","","disease",,,,,,,
"","","","","cure",,,,,,,
"","","","","-------------------------",,,,,,,
"","","","","",,,,,,,
"","","","","Basics:",,,,,,,
"","","","","attack",,,,,,,
"","","","","bath",,,,,,,
"","","","","blow",,,,,,,
"","","","","care",,,,,,,
"","","","","change",,,,,,,
"","","","","cold",,,,,,,
"","","","","cough",,,,,,,
"","","","","disease",,,,,,,
"","","","","doctor",,,,,,,
"","","","","faint",,,,,,,
"","","","","fever",,,,,,,
"","","","","fold",,,,,,,
"","","","","growth",,,,,,,
"","","","","harm",,,,,,,
"","","","","health",,,,,,,
"","","","","hunger",,,,,,,
"","","","","medicine",,,,,,,
"","","","","nurse",,,,,,,
"","","","","operation",,,,,,,
"","","","","pain",,,,,,,
"","","","","patience",,,,,,,
"","","","","poison",,,,,,,
"","","","","remedy",,,,,,,
"","","","","rest",,,,,,,
"","","","","sympathy",,,,,,,
"","","","","wound -- to apply",,,,,,,
"","","","","to arrange",,,,,,,
"","","","","to bear",,,,,,,
"","","","","to",,,,,,,
"","","","","break",,,,,,,
"","","","","to burst",,,,,,,
"","","","","to catch",,,,,,,
"","","","","to dress",,,,,,,
"","","","","to enjoy",,,,,,,
"","","","","to fade",,,,,,,
"","","","","to",,,,,,,
"","","","","faint",,,,,,,
"","","","","to grow",,,,,,,
"","","","","to hurt",,,,,,,
"","","","","to nurse",,,,,,,
"","","","","to rest",,,,,,,
"","","","","to swallow --",,,,,,,
"","","","","blind",,,,,,,
"","","","","careful",,,,,,,
"","","","","careless",,,,,,,
"","","","","delicate",,,,,,,
"","","","","mad",,,,,,,
"","","","","merry",,,,,,,
"","","","","faint",,,,,,,
"","","","","full",,,,,,,
"","","","","healthy",,,,,,,
"","","","","hungry",,,,,,,
"","","","","lame",,,,,,,
"","","","","natural",,,,,,,
"","","","","painful",,,,,,,
"","","","","pale",,,,,,,
"","","","","senseless",,,,,,,
"","","","","sore",,,,,,,
"","","","","tired",,,,,,,
"","","","","unhealthy",,,,,,,
"","","","","",,,,,,,
"","","","","Additional:",,,,,,,
"","","","","illness",,,,,,,
"","","","","sickness",,,,,,,
"","","","","infection",,,,,,,
"","","","","contagion",,,,,,,
"","","","","delicacy",,,,,,,
"","","","","injury",,,,,,,
"","","","","loss of blood",,,,,,,
"","","","","blood transfusion",,,,,,,
"","","","","breakdown",,,,,,,
"","","","","collapse",,,,,,,
"","","","","fit",,,,,,,
"","","","","of apoplexy",,,,,,,
"","","","","exhaustion",,,,,,,
"","","","","indisposition",,,,,,,
"","","","","relapse",,,,,,,
"","","","","recovery",,,,,,,
"","","","","sleeplessness",,,,,,,
"","","","","cold in the head",,,,,,,
"","","","","whooping-cough",,,,,,,
"","","","","hoarseness",,,,,,,
"","","","","influenza (flu)",,,,,,,
"","","","","swelling",,,,,,,
"","","","","ulcer",,,,,,,
"","","","","fracture",,,,,,,
"","","","","toothache / headache",,,,,,,
"","","","","cancer",,,,,,,
"","","","","polio(myelitis)",,,,,,,
"","","","","pneumonia",,,,,,,
"","","","","measles",,,,,,,
"","","","","scarlet fever",,,,,,,
"","","","","sunstroke",,,,,,,
"","","","","tuberculosis",,,,,,,
"","","","","dressing /",,,,,,,
"","","","","plaster",,,,,,,
"","","","","cotton wool",,,,,,,
"","","","","injection",,,,,,,
"","","","","prescription",,,,,,,
"","","","","remedy",,,,,,,
"","","","","ointment",,,,,,,
"","","","","tablet",,,,,,,
"","","","","pill",,,,,,,
"","","","","dispensary",,,,,,,
"","","","","night-duty",,,,,,,
"","","","","patient",,,,,,,
"","","","","sick person",,,,,,,
"","","","","to ache",,,,,,,
"","","","","to consult",,,,,,,
"","","","","to swell up",,,,,,,
"","","","","to bleed",,,,,,,
"","","","","(bled",,,,,,,
"","","","","bled)",,,,,,,
"","","","","to heal",,,,,,,
"","","","","to disinfect",,,,,,,
"","","","","to vaccinate",,,,,,,
"","","","","to",,,,,,,
"","","","","squit",,,,,,,
"","","","","to limp",,,,,,,
"","","","","to stutter",,,,,,,
"","","","","to snore",,,,,,,
"","","","","to recover from",,,,,,,
"","","","","vigorous",,,,,,,
"","","","","sturdy",,,,,,,
"","","","","robust",,,,,,,
"","","","","sickly",,,,,,,
"","","","","feeble-minded",,,,,,,
"","","","","insane",,,,,,,
"","","","","hereditary",,,,,,,
"","","","","dumb",,,,,,,
"","","","","mute",,,,,,,
"","","","","deaf",,,,,,,
"","","","","innate",,,,,,,
"","","","","exhausted",,,,,,,
"","","","","drowsy",,,,,,,
"","","","","unconscious",,,,,,,
"","","","","dizzy",,,,,,,
"","","","","bland-headed",,,,,,,
"","","","","crippled",,,,,,,
"","","","","malignant",,,,,,,